annotator,model,n,keep_rate,keep_ci_lo,keep_ci_hi,keep_rate_technical,keep_rate_semantic,faith_mean,quality_mean,linguistic_mean,composite_mean,composite_median,mean_rank_in_doc
human,gemini-3.5-flash,30,0.8,0.6333,0.9333,0.9375,0.6429,4.3667,4.4917,4.7,4.5194,4.6667,3.5167
human,gpt-5-mini,30,0.8333,0.7,0.9667,0.875,0.7857,4.7444,4.4667,4.6,4.6037,4.8194,3.45
human,gpt-5.4-mini,30,0.8667,0.7333,0.9667,0.875,0.8571,4.7333,4.2917,4.5667,4.5306,4.6667,3.7667
human,grok-4.3,30,0.7667,0.6,0.9,0.9375,0.5714,4.5222,4.4167,4.4333,4.4574,4.5417,3.7167
human,qwen3.6-35b-a3b,30,0.8,0.6667,0.9333,1.0,0.5714,4.4111,4.4167,4.6,4.4759,4.6944,3.2167
human,sonnet-4.6,30,0.7333,0.5667,0.8667,0.875,0.5714,4.4,4.6417,4.5333,4.525,4.625,3.3333
claude,gemini-3.5-flash,30,0.8,0.6667,0.9333,0.8125,0.7857,4.8778,3.8,4.5667,4.4148,4.5,2.85
claude,gpt-5-mini,30,0.4333,0.2667,0.6,0.3125,0.5714,4.9,3.275,4.4333,4.2028,4.25,4.5
claude,gpt-5.4-mini,30,0.5333,0.3667,0.7,0.375,0.7143,4.9111,3.3917,4.4667,4.2565,4.25,4.15
claude,grok-4.3,30,0.7667,0.6,0.9,0.5625,1.0,4.9111,3.6,4.5333,4.3481,4.375,3.8167
claude,qwen3.6-35b-a3b,30,0.6667,0.5,0.8333,0.6875,0.6429,4.8556,3.75,4.6333,4.413,4.5,3.05
claude,sonnet-4.6,30,0.9667,0.9,1.0,0.9375,1.0,4.9111,3.9917,4.6,4.5009,4.5833,2.6333
gpt,gemini-3.5-flash,30,0.7667,0.6,0.9,0.9375,0.5714,4.8444,4.15,4.8,4.5981,4.6389,2.8333
gpt,gpt-5-mini,30,0.5667,0.3667,0.7333,0.4375,0.7143,4.9222,3.6083,4.7333,4.4213,4.5,4.4
gpt,gpt-5.4-mini,30,0.5,0.3333,0.6667,0.4375,0.5714,4.9444,3.7417,4.5667,4.4176,4.4583,4.0333
gpt,grok-4.3,30,0.7,0.5333,0.8667,0.75,0.6429,4.8556,3.9583,4.6333,4.4824,4.5694,3.75
gpt,qwen3.6-35b-a3b,30,0.5,0.3333,0.6667,0.75,0.2143,4.7444,4.125,4.8,4.5565,4.5556,3.4333
gpt,sonnet-4.6,30,0.7333,0.5667,0.8667,0.8125,0.6429,4.8111,4.3667,4.7667,4.6481,4.7361,2.55
